"EXTF";700;21;"Buchungsstapel";12;20251204135828359;;"JE";"JERA2FIBU";"";2006873;2605;20250101;4;20251001;20251031;"Amazon 2025/10";JE;1;0;0;"EUR";;"";;;"";;;"";""
Umsatz (ohne Soll/Haben-Kz);Soll/Haben-Kennzeichen;WKZ Umsatz;Kurs;Basis-Umsatz;WKZ Basis-Umsatz;Konto;Gegenkonto (ohne BU-Schlüssel);BU-Schlüssel;Belegdatum;Belegfeld 1;Belegfeld 2;Skonto;Buchungstext;Postensperre;Diverse Adressnummer;Geschäftspartnerbank;Sachverhalt;Zinssperre;Beleglink;Beleginfo - Art 1;Beleginfo - Inhalt 1;Beleginfo - Art 2;Beleginfo - Inhalt 2;Beleginfo - Art 3;Beleginfo - Inhalt 3;Beleginfo - Art 4;Beleginfo - Inhalt 4;Beleginfo - Art 5;Beleginfo - Inhalt 5;Beleginfo - Art 6;Beleginfo - Inhalt 6;Beleginfo - Art 7;Beleginfo - Inhalt 7;Beleginfo - Art 8;Beleginfo - Inhalt 8;KOST1 - Kostenstelle;KOST2 - Kostenstelle;Kost-Menge;EU-Land und UStID (Bestimmung);EU-Steuersatz (Bestimmung);Abw. Versteuerungsart;Sachverhalt L+L;Funktionsergänzung L+L;BU 49 Hauptfunktionstyp;BU 49 Hauptfunktionsnummer;BU 49 Funktionsergänzung;Zusatzinformation - Art 1;Zusatzinformation- Inhalt 1;Zusatzinformation - Art 2;Zusatzinformation- Inhalt 2;Zusatzinformation - Art 3;Zusatzinformation- Inhalt 3;Zusatzinformation - Art 4;Zusatzinformation- Inhalt 4;Zusatzinformation - Art 5;Zusatzinformation- Inhalt 5;Zusatzinformation - Art 6;Zusatzinformation- Inhalt 6;Zusatzinformation - Art 7;Zusatzinformation- Inhalt 7;Zusatzinformation - Art 8;Zusatzinformation- Inhalt 8;Zusatzinformation - Art 9;Zusatzinformation- Inhalt 9;Zusatzinformation - Art 10;Zusatzinformation- Inhalt 10;Zusatzinformation - Art 11;Zusatzinformation- Inhalt 11;Zusatzinformation - Art 12;Zusatzinformation- Inhalt 12;Zusatzinformation - Art 13;Zusatzinformation- Inhalt 13;Zusatzinformation - Art 14;Zusatzinformation- Inhalt 14;Zusatzinformation - Art 15;Zusatzinformation- Inhalt 15;Zusatzinformation - Art 16;Zusatzinformation- Inhalt 16;Zusatzinformation - Art 17;Zusatzinformation- Inhalt 17;Zusatzinformation - Art 18;Zusatzinformation- Inhalt 18;Zusatzinformation - Art 19;Zusatzinformation- Inhalt 19;Zusatzinformation - Art 20;Zusatzinformation- Inhalt 20;Stück;Gewicht;Zahlweise;Forderungsart;Veranlagungsjahr;Zugeordnete Fälligkeit;Skontotyp;Auftragsnummer;Buchungstyp;Ust-Schlüssel (Anzahlungen);EU-Land (Anzahlungen);Sachverhalt L+L (Anzahlungen);EU-Steuersatz (Anzahlungen);Erlöskonto (Anzahlungen);Herkunft-Kz;Leerfeld;KOST-Datum;Mandatsreferenz;Skontosperre;Gesellschaftername;Beteiligtennummer;Identifikationsnummer;Zeichnernummer;Postensperre bis;Bezeichnung SoBil-Sachverhalt;Kennzeichen SoBil-Buchung;Festschreibung;Leistungsdatum;Datum Zuord.Steuerperiode;Fälligkeit;Generalumkehr (GU);Steuersatz;Land;Abrechnungsreferenz;BVV-Postion;EU-Land und UStID (Ursprung);EU-Steuersatz (Ursprung);
88,40;"S";"";;;"";1813;69001;"";2010;"XRE-4711";"AU2025-78030";0,00;"XRE-4711 ,MR MARLY ANTOINE Artikel bezahlt ,MR MARLY ANTOINE";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
16,09;"H";"";;;"";1813;6770;"401";2010;"XRE-4711";"AU2025-78030";0,00;",MR MARLY ANTOINE Amazon Kommission ,MR MARLY ANTOINE Amazon";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
25,88;"S";"";;;"";1813;69001;"";2010;"XRE-4672";"AU2025-77971";0,00;"XRE-4672 DECHARTES JEAN LUC,DECHARTRES JEAN LUC Artikel beza";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
4,71;"H";"";;;"";1813;6770;"401";2010;"XRE-4672";"AU2025-77971";0,00;"DECHARTES JEAN LUC,DECHARTRES JEAN LUC Amazon Kommission DEC";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
26,72;"S";"";;;"";1813;69001;"";2010;"XRE-4672";"AU2025-77971";0,00;"XRE-4672 DECHARTES JEAN LUC,DECHARTRES JEAN LUC Artikel beza";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
4,87;"H";"";;;"";1813;6770;"401";2010;"XRE-4672";"AU2025-77971";0,00;"DECHARTES JEAN LUC,DECHARTRES JEAN LUC Amazon Kommission DEC";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
71,80;"S";"";;;"";1813;69001;"";2010;"XRE-4669";"AU2025-77965";0,00;"XRE-4669 georgeault,ludivine Artikel bezahlt georgeault,ludi";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
11,32;"H";"";;;"";1813;6770;"401";2010;"XRE-4669";"AU2025-77965";0,00;"georgeault,ludivine Amazon Kommission georgeault,ludivine Am";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
88,40;"S";"";;;"";1813;69001;"";2010;"XRE-4696";"AU2025-78019";0,00;"XRE-4696 David,Albarède Artikel bezahlt David,Albarède Artik";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
13,94;"H";"";;;"";1813;6770;"401";2010;"XRE-4696";"AU2025-78019";0,00;"David,Albarède Amazon Kommission David,Albarède Amazon Kommi";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
181,30;"S";"";;;"";1813;69001;"";2010;"XRE-4676";"AU2025-77650";0,00;"XRE-4676 Clement,tellier Artikel bezahlt Clement,tellier Art";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
28,59;"H";"";;;"";1813;6770;"401";2010;"XRE-4676";"AU2025-77650";0,00;"Clement,tellier Amazon Kommission Clement,tellier Amazon Kom";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
1940,48;"H";"";;;"";1813;1460;"";2010;"";"";0,00;"Amazon Geldtransit";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
35,50;"S";"";;;"";1816;69001;"";2010;"XRE-4664";"AU2025-77996";0,00;"XRE-4664 GALIFIX PLATAFORMAS S.L.,GALIFIX PLATAFORMAS S.L. A";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
6,26;"H";"";;;"";1816;6770;"401";2010;"XRE-4664";"AU2025-77996";0,00;"GALIFIX PLATAFORMAS S.L.,GALIFIX PLATAFORMAS S.L. Amazon Kom";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
36,80;"S";"";;;"";1814;69001;"";2010;"XRE-4671";"AU2025-77939";0,00;"XRE-4671 suzan,walzel Artikel bezahlt suzan,walzel Artikel-S";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
5,68;"H";"";;;"";1814;6770;"401";2010;"XRE-4671";"AU2025-77939";0,00;"suzan,walzel Amazon Kommission suzan,walzel Amazon Kommissio";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
41,27;"S";"";;;"";1814;69001;"";2010;"XRE-4674";"AU2025-77949";0,00;"XRE-4674 studio balthaus fritz,balthaus Artikel bezahlt stud";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
6,38;"H";"";;;"";1814;6770;"401";2010;"XRE-4674";"AU2025-77949";0,00;"studio balthaus fritz,balthaus Amazon Kommission studio balt";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
38,80;"S";"";;;"";1814;69001;"";2010;"XRE-4683";"AU2025-77942";0,00;"XRE-4683 Claudia,Herz Artikel bezahlt Claudia,Herz Artikel-S";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
5,99;"H";"";;;"";1814;6770;"401";2010;"XRE-4683";"AU2025-77942";0,00;"Claudia,Herz Amazon Kommission Claudia,Herz Amazon Kommissio";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
44,90;"S";"";;;"";1814;69001;"";2010;"XRE-4643";"AU2025-77992";0,00;"XRE-4643 Thomas,Freund Artikel bezahlt Thomas,Freund Artikel";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
6,94;"H";"";;;"";1814;6770;"401";2010;"XRE-4643";"AU2025-77992";0,00;"Thomas,Freund Amazon Kommission";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
97,86;"S";"";;;"";1814;69001;"";2010;"XRE-4651";"AU2025-77903";0,00;"XRE-4651 Diabohr-Tech,Gabriel Ferraz de Souza Artikel bezahl";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
15,15;"H";"";;;"";1814;6770;"401";2010;"XRE-4651";"AU2025-77903";0,00;"Diabohr-Tech,Gabriel Ferraz de Souza Amazon Kommission Diabo";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
23,90;"S";"";;;"";1814;69001;"";2010;"XRE-4644";"AU2025-78000";0,00;"XRE-4644 Friedrich,Keitlinghaus Artikel bezahlt Friedrich,Ke";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
3,70;"H";"";;;"";1814;6770;"401";2010;"XRE-4644";"AU2025-78000";0,00;"Friedrich,Keitlinghaus Amazon Kommission";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
45,15;"S";"";;;"";1814;69001;"";2010;"XRE-4682";"AU2025-77944";0,00;"XRE-4682 Holzgestaltung Kroiß GmbH,Kunstschreinerei Felix Kr";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
6,98;"H";"";;;"";1814;6770;"401";2010;"XRE-4682";"AU2025-77944";0,00;"Holzgestaltung Kroiß GmbH,Kunstschreinerei Felix Kroiß Amazo";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
82,70;"S";"";;;"";1814;69001;"";2010;"XRE-4646";"AU2025-77959";0,00;"XRE-4646 Alfred,Heitmann Artikel bezahlt Alfred,Heitmann Art";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
12,80;"H";"";;;"";1814;6770;"401";2010;"XRE-4646";"AU2025-77959";0,00;"Alfred,Heitmann Amazon Kommission Alfred,Heitmann Amazon Kom";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
8,69;"H";"";;;"";1814;6770;"401";2010;"XRE-4521";"AU2025-77610";0,00;"XRE-4521 Car Tech KFZ Meisterbetrieb GmbH,Car-Tech KFZ Meist";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
88,80;"S";"";;;"";1814;69001;"";2010;"XRE-4705";"AU2025-78051";0,00;"XRE-4705 LW Megayacht Solutions Rüdiger,Gollnik Artikel beza";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
13,75;"H";"";;;"";1814;6770;"401";2010;"XRE-4705";"AU2025-78051";0,00;"LW Megayacht Solutions Rüdiger,Gollnik Amazon Kommission LW ";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
29,40;"S";"";;;"";1814;69001;"";2010;"XRE-4716";"AU2025-78056";0,00;"XRE-4716 Simon,Paasch Artikel bezahlt Simon,Paasch Artikel-S";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
4,56;"H";"";;;"";1814;6770;"401";2010;"XRE-4716";"AU2025-78056";0,00;"Simon,Paasch Amazon Kommission Simon,Paasch Amazon Kommissio";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
32,80;"S";"";;;"";1814;69001;"";2010;"XRE-4715";"AU2025-78048";0,00;"XRE-4715 Gutekunst,Andreas Artikel bezahlt Gutekunst,Andreas";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
5,87;"H";"";;;"";1814;6770;"401";2010;"XRE-4715";"AU2025-78048";0,00;"Gutekunst,Andreas Amazon Kommission Gutekunst,Andreas Amazon";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
61,86;"S";"";;;"";1814;69001;"";2010;"XRE-4657";"AU2025-77978";0,00;"XRE-4657 Florian,riegler Artikel bezahlt Florian,riegler Art";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
9,49;"H";"";;;"";1814;6770;"401";2010;"XRE-4657";"AU2025-77978";0,00;"Florian,riegler Amazon Kommission Florian,riegler Amazon Kom";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
85,90;"S";"";;;"";1814;69001;"";2010;"XRE-4666";"AU2025-77963";0,00;"XRE-4666 Weinberger,Hans Artikel bezahlt Weinberger,Hans Art";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
13,27;"H";"";;;"";1814;6770;"401";2010;"XRE-4666";"AU2025-77963";0,00;"Weinberger,Hans Amazon Kommission Weinberger,Hans Amazon Kom";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
145,30;"S";"";;;"";1814;69001;"";2010;"XRE-4684";"AU2025-77660";0,00;"XRE-4684 Christian,Goecke Artikel bezahlt Christian,Goecke A";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
22,49;"H";"";;;"";1814;6770;"401";2010;"XRE-4684";"AU2025-77660";0,00;"Christian,Goecke Amazon Kommission Christian,Goecke Amazon K";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
33,40;"S";"";;;"";1814;69001;"";2010;"XRE-4680";"AU2025-77987";0,00;"XRE-4680 Markus,Aicher Artikel bezahlt Markus,Aicher Artikel";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
